r= 5 
Inference for Stan model: tensor2d_kron.
4 chains, each with iter=600; warmup=500; thin=1; 
post-warmup draws per chain=100, total post-warmup draws=400.

          mean se_mean   sd  2.5%   25%   50%   75% 97.5% n_eff  Rhat
U[1,1]   -0.02    0.11 0.16 -0.28 -0.19  0.03  0.14  0.18     2  4.08
U[1,2]   -0.22    0.07 0.12 -0.41 -0.31 -0.22 -0.14  0.04     3  3.22
U[1,3]    0.10    0.16 0.24 -0.34 -0.09  0.18  0.29  0.37     2  6.40
U[1,4]   -0.01    0.14 0.20 -0.31 -0.15 -0.01  0.13  0.27     2 12.11
U[1,5]   -0.11    0.08 0.12 -0.27 -0.20 -0.14 -0.01  0.11     2  3.77
U[2,1]   -0.02    0.11 0.16 -0.27 -0.17  0.02  0.13  0.17     2  3.93
U[2,2]   -0.21    0.07 0.12 -0.39 -0.30 -0.21 -0.12  0.04     3  3.16
U[2,3]    0.10    0.16 0.23 -0.33 -0.09  0.18  0.28  0.36     2  6.48
U[2,4]    0.00    0.13 0.19 -0.29 -0.15 -0.01  0.13  0.26     2 11.49
U[2,5]   -0.10    0.08 0.12 -0.26 -0.20 -0.13  0.00  0.12     2  3.81
U[3,1]   -0.03    0.14 0.21 -0.36 -0.22 -0.05  0.15  0.34     2  2.50
U[3,2]   -0.15    0.10 0.17 -0.49 -0.29 -0.15 -0.05  0.21     3  1.91
U[3,3]    0.10    0.17 0.27 -0.44 -0.12  0.20  0.30  0.42     2  3.03
U[3,4]    0.00    0.11 0.17 -0.27 -0.16  0.01  0.15  0.28     2  2.62
U[3,5]   -0.14    0.06 0.12 -0.36 -0.23 -0.14 -0.06  0.07     4  1.52
U[4,1]   -0.03    0.14 0.20 -0.36 -0.23  0.01  0.16  0.22     2  4.29
U[4,2]   -0.22    0.09 0.15 -0.47 -0.36 -0.21 -0.14  0.11     3  3.29
U[4,3]    0.14    0.21 0.30 -0.41 -0.07  0.26  0.37  0.46     2  7.04
U[4,4]   -0.02    0.14 0.21 -0.34 -0.16 -0.01  0.14  0.25     2 10.27
U[4,5]   -0.12    0.06 0.11 -0.29 -0.21 -0.13 -0.02  0.07     3  2.85
U[5,1]    0.00    0.10 0.15 -0.24 -0.16  0.07  0.13  0.20     2  3.14
U[5,2]   -0.27    0.08 0.12 -0.47 -0.36 -0.28 -0.18 -0.06     3  2.94
U[5,3]    0.05    0.11 0.17 -0.26 -0.13  0.12  0.19  0.30     2  4.01
U[5,4]    0.00    0.17 0.24 -0.34 -0.15 -0.05  0.11  0.38     2 10.14
U[5,5]   -0.12    0.12 0.18 -0.32 -0.25 -0.19 -0.04  0.24     2  5.09
U[6,1]   -0.06    0.22 0.32 -0.65 -0.33  0.00  0.18  0.41     2  4.17
U[6,2]   -0.28    0.17 0.25 -0.64 -0.51 -0.31 -0.06  0.19     2  3.09
U[6,3]    0.07    0.07 0.16 -0.24 -0.04  0.07  0.18  0.40     5  1.47
U[6,4]   -0.09    0.16 0.23 -0.42 -0.31 -0.07  0.13  0.29     2  4.14
U[6,5]   -0.24    0.11 0.17 -0.58 -0.38 -0.20 -0.11  0.05     2  2.73
U[7,1]    0.00    0.05 0.07 -0.10 -0.06 -0.02  0.06  0.12     2  3.85
U[7,2]    0.11    0.02 0.04  0.05  0.08  0.10  0.14  0.19     3  2.22
U[7,3]   -0.03    0.05 0.08 -0.15 -0.08 -0.04  0.04  0.11     3  2.87
U[7,4]    0.01    0.07 0.10 -0.15 -0.03  0.02  0.06  0.16     2  7.52
U[7,5]    0.04    0.03 0.05 -0.07  0.02  0.06  0.07  0.10     2  3.38
U[8,1]   -0.03    0.13 0.18 -0.36 -0.20  0.00  0.15  0.21     2  3.98
U[8,2]   -0.22    0.09 0.15 -0.46 -0.32 -0.22 -0.13  0.10     3  3.30
U[8,3]    0.12    0.19 0.28 -0.41 -0.06  0.24  0.34  0.41     2  6.49
U[8,4]   -0.01    0.14 0.19 -0.31 -0.17  0.00  0.16  0.26     2  8.79
U[8,5]   -0.12    0.08 0.12 -0.29 -0.23 -0.13  0.00  0.10     2  3.38
U[9,1]   -0.01    0.11 0.16 -0.26 -0.18  0.06  0.14  0.20     2  3.68
U[9,2]   -0.25    0.06 0.11 -0.43 -0.32 -0.24 -0.17 -0.05     3  3.16
U[9,3]    0.08    0.14 0.21 -0.28 -0.11  0.14  0.24  0.34     2  5.14
U[9,4]   -0.01    0.16 0.23 -0.35 -0.15 -0.02  0.11  0.33     2 12.80
U[9,5]   -0.11    0.10 0.14 -0.28 -0.21 -0.17 -0.03  0.18     2  4.48
U[10,1]  -0.02    0.11 0.17 -0.28 -0.19  0.03  0.14  0.20     2  4.12
U[10,2]  -0.21    0.06 0.11 -0.39 -0.31 -0.20 -0.15  0.01     3  3.23
U[10,3]   0.10    0.14 0.21 -0.30 -0.08  0.16  0.27  0.35     2  5.53
U[10,4]  -0.03    0.14 0.19 -0.33 -0.13 -0.02  0.07  0.26     2 12.00
U[10,5]  -0.10    0.06 0.10 -0.25 -0.17 -0.13 -0.02  0.08     3  3.09
U[11,1]  -0.02    0.09 0.13 -0.23 -0.14  0.01  0.11  0.15     2  4.04
U[11,2]  -0.17    0.06 0.10 -0.33 -0.25 -0.17 -0.10  0.02     3  3.22
U[11,3]   0.08    0.13 0.19 -0.27 -0.08  0.15  0.23  0.29     2  6.27
U[11,4]   0.00    0.11 0.15 -0.24 -0.12  0.00  0.11  0.22     2 10.76
U[11,5]  -0.09    0.07 0.10 -0.22 -0.18 -0.11  0.00  0.09     2  3.98
U[12,1]  -0.03    0.10 0.15 -0.29 -0.16 -0.01  0.12  0.18     2  4.34
U[12,2]  -0.16    0.07 0.11 -0.33 -0.25 -0.15 -0.11  0.10     3  3.36
U[12,3]   0.11    0.16 0.23 -0.33 -0.05  0.19  0.29  0.36     2  7.11
U[12,4]  -0.01    0.10 0.15 -0.26 -0.11  0.00  0.11  0.17     2  9.95
U[12,5]  -0.09    0.04 0.07 -0.20 -0.14 -0.09 -0.02  0.03     4  2.37
U[13,1]  -0.01    0.10 0.14 -0.23 -0.16  0.06  0.13  0.17     2  3.76
U[13,2]  -0.23    0.06 0.11 -0.41 -0.32 -0.24 -0.15 -0.04     3  3.37
U[13,3]   0.08    0.13 0.19 -0.27 -0.11  0.14  0.24  0.32     2  5.38
U[13,4]   0.00    0.15 0.21 -0.31 -0.15 -0.03  0.12  0.32     2 11.44
U[13,5]  -0.10    0.10 0.14 -0.27 -0.20 -0.16 -0.02  0.17     2  5.05
U[14,1]  -0.02    0.11 0.16 -0.32 -0.16 -0.01  0.13  0.18     2  3.89
U[14,2]  -0.18    0.07 0.12 -0.36 -0.29 -0.19 -0.10  0.10     3  3.28
U[14,3]   0.12    0.18 0.27 -0.38 -0.04  0.23  0.31  0.39     2  7.18
U[14,4]   0.00    0.13 0.18 -0.28 -0.15  0.01  0.16  0.23     2  8.91
U[14,5]  -0.08    0.06 0.10 -0.24 -0.19 -0.09  0.01  0.08     3  2.93
U[15,1]  -0.03    0.09 0.13 -0.23 -0.16  0.01  0.10  0.17     2  4.10
U[15,2]  -0.14    0.06 0.10 -0.29 -0.23 -0.14 -0.08  0.07     3  3.30
U[15,3]   0.09    0.13 0.18 -0.25 -0.03  0.15  0.24  0.31     2  6.00
U[15,4]  -0.03    0.09 0.13 -0.26 -0.09 -0.02  0.06  0.15     2  7.74
U[15,5]  -0.07    0.02 0.05 -0.18 -0.10 -0.07 -0.03  0.02     5  2.08
U[16,1]   0.00    0.08 0.12 -0.24 -0.10 -0.02  0.09  0.21     2  3.04
U[16,2]  -0.17    0.04 0.08 -0.30 -0.23 -0.19 -0.12 -0.03     4  2.66
U[16,3]   0.07    0.13 0.19 -0.27 -0.08  0.14  0.22  0.31     2  5.16
U[16,4]   0.00    0.13 0.18 -0.28 -0.13 -0.01  0.13  0.27     2  9.66
U[16,5]  -0.05    0.06 0.10 -0.18 -0.13 -0.08  0.02  0.13     2  3.28
U[17,1]  -0.02    0.08 0.13 -0.21 -0.12 -0.05  0.08  0.21     2  2.78
U[17,2]  -0.12    0.05 0.09 -0.25 -0.19 -0.13 -0.05  0.04     3  1.87
U[17,3]   0.11    0.13 0.20 -0.31 -0.01  0.18  0.25  0.36     2  3.42
U[17,4]  -0.04    0.10 0.15 -0.31 -0.14 -0.04  0.07  0.20     2  3.55
U[17,5]   0.00    0.02 0.06 -0.14 -0.03  0.00  0.03  0.11    12  1.30
U[18,1]  -0.02    0.09 0.13 -0.21 -0.15  0.02  0.10  0.16     2  4.48
U[18,2]  -0.17    0.05 0.08 -0.30 -0.24 -0.17 -0.10 -0.02     3  3.27
U[18,3]   0.07    0.09 0.14 -0.20 -0.07  0.10  0.18  0.26     2  4.77
U[18,4]  -0.02    0.11 0.15 -0.27 -0.09 -0.02  0.04  0.20     2 11.86
U[18,5]  -0.08    0.04 0.07 -0.20 -0.13 -0.10 -0.03  0.06     2  3.16
U[19,1]  -0.01    0.08 0.13 -0.25 -0.10 -0.02  0.07  0.21     2  3.20
U[19,2]  -0.14    0.03 0.07 -0.26 -0.19 -0.14 -0.09  0.03     5  2.35
U[19,3]   0.08    0.14 0.20 -0.29 -0.05  0.15  0.22  0.33     2  5.05
U[19,4]   0.01    0.11 0.16 -0.26 -0.12  0.01  0.16  0.23     2  7.22
U[19,5]  -0.04    0.05 0.08 -0.16 -0.11 -0.04  0.03  0.11     3  2.51
U[20,1]   0.04    0.11 0.16 -0.24 -0.09  0.08  0.16  0.26     2  3.68
U[20,2]  -0.08    0.07 0.12 -0.29 -0.18 -0.04  0.01  0.11     3  2.26
U[20,3]  -0.02    0.07 0.11 -0.22 -0.12 -0.02  0.07  0.18     3  2.28
U[20,4]  -0.03    0.11 0.16 -0.29 -0.15 -0.04  0.12  0.24     2  3.85
U[20,5]   0.05    0.05 0.08 -0.09 -0.01  0.06  0.11  0.18     3  1.82
U[21,1]  -0.01    0.06 0.09 -0.15 -0.10  0.03  0.07  0.10     2  3.40
U[21,2]  -0.14    0.03 0.06 -0.24 -0.18 -0.13 -0.09 -0.05     3  2.82
U[21,3]   0.04    0.06 0.10 -0.14 -0.05  0.06  0.12  0.17     2  3.89
U[21,4]  -0.01    0.08 0.12 -0.19 -0.07 -0.02  0.05  0.18     2  9.93
U[21,5]  -0.07    0.05 0.08 -0.17 -0.12 -0.10 -0.03  0.09     2  4.35
U[22,1]   0.00    0.04 0.06 -0.09 -0.05  0.01  0.05  0.08     2  2.84
U[22,2]  -0.10    0.03 0.06 -0.19 -0.15 -0.11 -0.06  0.01     3  3.01
U[22,3]   0.03    0.05 0.08 -0.12 -0.05  0.05  0.08  0.13     2  3.56
U[22,4]   0.00    0.07 0.09 -0.13 -0.07 -0.01  0.06  0.16     2  7.43
U[22,5]  -0.04    0.05 0.08 -0.14 -0.10 -0.07 -0.01  0.11     2  5.31
U[23,1]   0.00    0.04 0.06 -0.12 -0.04 -0.01  0.05  0.11     2  3.30
U[23,2]  -0.08    0.02 0.04 -0.15 -0.11 -0.08 -0.04  0.00     4  1.73
U[23,3]   0.02    0.03 0.05 -0.07 -0.01  0.02  0.06  0.13     4  1.87
U[23,4]  -0.02    0.06 0.09 -0.17 -0.09 -0.02  0.04  0.13     2  5.43
U[23,5]  -0.02    0.02 0.04 -0.08 -0.05 -0.02  0.01  0.05     3  2.36
U[24,1]   0.00    0.10 0.15 -0.25 -0.13  0.03  0.13  0.19     2  5.53
U[24,2]  -0.09    0.04 0.07 -0.21 -0.15 -0.09 -0.03  0.04     3  2.67
U[24,3]   0.10    0.07 0.10 -0.07  0.02  0.10  0.20  0.26     2  3.41
U[24,4]  -0.07    0.09 0.12 -0.19 -0.16 -0.12 -0.01  0.16     2  5.99
U[24,5]   0.02    0.05 0.08 -0.13 -0.05  0.04  0.09  0.13     2  3.72
U[25,1]   0.00    0.03 0.05 -0.09 -0.02  0.02  0.04  0.07     2  3.74
U[25,2]  -0.07    0.02 0.03 -0.13 -0.09 -0.07 -0.05 -0.01     3  2.56
U[25,3]  -0.01    0.03 0.04 -0.10 -0.03 -0.01  0.03  0.08     3  2.27
U[25,4]  -0.02    0.05 0.07 -0.11 -0.08 -0.02  0.04  0.11     2  7.19
U[25,5]  -0.03    0.03 0.05 -0.10 -0.07 -0.04  0.01  0.07     2  4.07
U[26,1]   0.00    0.13 0.20 -0.31 -0.22  0.09  0.18  0.25     2  3.75
U[26,2]  -0.33    0.08 0.14 -0.56 -0.45 -0.33 -0.23 -0.08     3  3.34
U[26,3]   0.11    0.18 0.27 -0.38 -0.15  0.20  0.32  0.44     2  5.32
U[26,4]  -0.01    0.21 0.30 -0.43 -0.22 -0.04  0.16  0.45     2 12.35
U[26,5]  -0.13    0.13 0.19 -0.36 -0.27 -0.20  0.00  0.25     2  4.62
U[27,1]   0.00    0.04 0.05 -0.09 -0.05 -0.01  0.05  0.09     2  3.94
U[27,2]  -0.07    0.02 0.04 -0.12 -0.09 -0.08 -0.05  0.00     2  2.83
U[27,3]   0.01    0.02 0.04 -0.07 -0.01  0.01  0.03  0.08     5  1.83
U[27,4]  -0.02    0.05 0.08 -0.13 -0.09 -0.02  0.04  0.10     2  8.62
U[27,5]  -0.02    0.02 0.04 -0.07 -0.05 -0.03  0.01  0.04     2  3.25
U[28,1]   0.01    0.07 0.12 -0.19 -0.08 -0.01  0.10  0.24     3  1.85
U[28,2]  -0.20    0.04 0.09 -0.36 -0.26 -0.20 -0.13 -0.03     5  1.30
U[28,3]   0.03    0.05 0.10 -0.15 -0.04  0.02  0.10  0.22     4  1.63
U[28,4]  -0.03    0.13 0.19 -0.32 -0.17 -0.05  0.12  0.30     2  3.76
U[28,5]  -0.04    0.07 0.12 -0.21 -0.13 -0.06  0.03  0.21     3  2.07
U[29,1]   0.02    0.03 0.04 -0.06  0.00  0.02  0.05  0.11     2  2.40
U[29,2]  -0.02    0.04 0.06 -0.11 -0.07 -0.04  0.04  0.09     2  3.34
U[29,3]  -0.04    0.04 0.06 -0.12 -0.08 -0.06  0.00  0.09     2  2.80
U[29,4]   0.01    0.02 0.04 -0.04 -0.02  0.00  0.05  0.08     3  2.52
U[29,5]   0.01    0.04 0.05 -0.06 -0.03 -0.02  0.04  0.11     2  4.17
U[30,1]   0.00    0.03 0.04 -0.06 -0.03  0.00  0.04  0.08     2  2.49
U[30,2]  -0.03    0.01 0.02 -0.08 -0.04 -0.03 -0.01  0.02     7  1.23
U[30,3]   0.00    0.02 0.04 -0.07 -0.02  0.00  0.03  0.07     5  1.30
U[30,4]  -0.01    0.02 0.04 -0.07 -0.04 -0.02  0.01  0.06     3  2.07
U[30,5]   0.00    0.02 0.03 -0.07 -0.02  0.00  0.02  0.06     3  2.17
U[31,1]  -0.03    0.16 0.23 -0.37 -0.28  0.03  0.19  0.28     2  4.69
U[31,2]  -0.28    0.10 0.17 -0.53 -0.44 -0.26 -0.17  0.06     3  3.30
U[31,3]   0.16    0.22 0.32 -0.43 -0.07  0.29  0.42  0.52     2  6.34
U[31,4]  -0.04    0.18 0.25 -0.45 -0.19 -0.04  0.13  0.34     2  9.62
U[31,5]  -0.12    0.06 0.10 -0.31 -0.19 -0.14 -0.05  0.08     3  2.42
U[32,1]   0.02    0.02 0.04 -0.03 -0.01  0.01  0.04  0.09     3  1.82
